h_geocode,gravity
245100702001004,9101.601868031394
245100702001005,9392.757617246427
245100702001006,10210.095067323706
245100702001007,9192.382982335494
245100702002000,8060.4651754641545
245100702002001,8459.793875182324
245100702002002,8176.6763259674935
245100702002003,8117.958479955651
245100702002004,8129.181505544602
245100702002005,7948.301072535806
245100702002006,8203.277068934836
245100702002007,7537.667400079721
245100702003000,9883.393398873133
245100702003002,10886.923191975317
245100702003003,9658.245363666341
245100702003004,11126.642159056533
245100702003005,10500.133622183232
245100702003006,9951.47120444922
245100702003007,9506.915894675518
245100702004002,7992.306409244287
245100702004004,10311.994989141316
245100702004005,10214.056449583442
245100702004006,10291.594021601548
245100702004007,8731.152052670765
245100702004008,7111.362150875968
245100702004009,7159.020892402699
245100702004010,7246.6535818165685
245100702004011,6873.379099998283
245100702004012,12502.355762860298
245100702004013,11719.573690947207
245100702004014,10890.150303130777
245100702004015,10368.422567241545
245100702004016,10776.090281422901
245100702004017,11378.767869773998
245100702004018,11912.369830498348
245100702004019,12792.493706017165
245100703001000,12033.33580715546
245100703001001,13487.78307382454
245100703001005,15361.54112777573
245100703001006,17111.258902023197
245100703001007,18261.148363729728
245100703001008,16299.957869350335
245100703001009,17196.31081817511
245100703001011,19996.628399398993
245100703001012,18832.285329314214
245100703001013,17377.507612332207
245100703001014,17976.44529247284
245100703001015,15143.29596132696
245100703001016,15108.599129677958
245100703001017,13740.954600217487
245100703001018,14757.250816169832
245100703001019,14101.377971757165
245100703001020,12448.716095815382
245100703001024,17067.08787936267
245100703001026,17927.92828131792
245100703001027,17321.478700132502
245100703001028,15063.896289456068
245100703001029,13095.337186857538
245100703001030,12908.608307641667
245100703001031,12066.616714855176
245100703001032,12189.731104900558
245100703001033,13563.084401902193
245100704001000,25701.03633857886
245100704001002,27075.74598703465
245100704001003,33210.09009291144
245100704001004,34656.20191641603
245100704001006,31094.074929551003
245100704002002,19681.80454273233
245100704002003,20741.71078577562
245100704002005,20701.580184818868
245100704002006,23439.905353395603
245100704002009,30345.59199766223
245100704002012,25147.750051569397
245100704002014,23015.442388908057
245100704002015,21695.288678561537
245100801011001,362.5843026151224
245100801011002,321.0571508623565
245100801011003,332.6221502603458
245100801011004,359.0255220411235
245100801011005,700.0972270388162
245100801011006,393.33050650070345
245100801011007,407.78614332449956
245100801011008,442.03368110836584
245100801011009,1085.7889934216319
245100801011010,596.8126554064434
245100801011011,550.1410128651424
245100801011012,422.24067697063833
